order_id,order_name,order_created_at,line_item_id,line_item_name,sku,quantity,unit_price,currency,variant_id,variant_title,product_id,product_title
gid://shopify/Order/6322034671790,#6171,2025-12-31T22:11:53Z,gid://shopify/LineItem/15012480975022,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6322024906926,#6170,2025-12-31T22:02:56Z,gid://shopify/LineItem/15012457349294,Caneta Crown Personalizada Diamond - Rose,DI11004F,1,122.9,BRL,gid://shopify/ProductVariant/47090342887598,Rose,gid://shopify/Product/8894501716142,Caneta Crown Personalizada Diamond
gid://shopify/Order/6322008621230,#6169,2025-12-31T21:47:39Z,gid://shopify/LineItem/15012421075118,Caneta Crown Personalizada Metal Geek Tinteiro - Branca,DI38008B,1,119.9,BRL,gid://shopify/ProductVariant/47090345050286,Branca,gid://shopify/Product/8894502207662,Caneta Crown Personalizada Metal Geek Tinteiro
gid://shopify/Order/6322006196398,#6168,2025-12-31T21:45:24Z,gid://shopify/LineItem/15012413538478,Caneta Crown Personalizada Metal Capricci Esferográfica - Preta,DI12601P,1,134.9,BRL,gid://shopify/ProductVariant/47090343411886,Preta,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6322006196398,#6168,2025-12-31T21:45:24Z,gid://shopify/LineItem/15012413571246,CARGA CROWN ESFEROGRAFICA TIPO CROSS | CA12009 - Preto,CA12009P,1,18.9,BRL,gid://shopify/ProductVariant/47122633457838,Preto,gid://shopify/Product/8901032181934,CARGA CROWN ESFEROGRAFICA TIPO CROSS | CA12009
gid://shopify/Order/6322003673262,#6167,2025-12-31T21:43:00Z,gid://shopify/LineItem/15012406689966,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6322003673262,#6167,2025-12-31T21:43:00Z,gid://shopify/LineItem/15012406722734,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6321963958446,#6166,2025-12-31T21:07:08Z,gid://shopify/LineItem/15012307337390,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata e Dourado,DI19966N,1,109.9,BRL,gid://shopify/ProductVariant/47090349932718,Prata e Dourado,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6321888395438,#6165,2025-12-31T20:06:52Z,gid://shopify/LineItem/15012118036654,Caneta Crown Personalizada Metal Otawa Esferográfica - Preta,DI10076P,1,69.9,BRL,gid://shopify/ProductVariant/47090347507886,Preta,gid://shopify/Product/8894503092398,Caneta Crown Personalizada Metal Otawa Esferográfica
gid://shopify/Order/6321888395438,#6165,2025-12-31T20:06:52Z,gid://shopify/LineItem/15012118069422,Caneta Crown Personalizada Metal Otawa Esferográfica - Vermelha,DI10076V,1,69.9,BRL,gid://shopify/ProductVariant/47090347606190,Vermelha,gid://shopify/Product/8894503092398,Caneta Crown Personalizada Metal Otawa Esferográfica
